A盤	A槽
拉黑	封鎖
捆綁包	組合包
掌上型電腦	筆電
掘土機	挖土機
搜索	搜尋
操作系統	作業系統
擬生詞	狀聲詞
政治避難	政治庇護
故事片	劇情片
數字化	數位化
數字媒體	數位媒體
數字模式	數位模式
數字測圖	數位製圖
數字照片	數位相片
數字版權	數位版權
數字發行	數位發行
數字移動	數位行動
數字簽名	數位簽章
數字視頻	數位影片
數字證書	數位憑證
數字身份	數位身分
數字電視	數位電視
數碼測色計	數位測色計
數碼錶冠	數位錶冠
數據中心	資料中心
數據包	封包
數據庫	資料庫
數據結構	資料結構
數據線	傳輸線
數碼相機	數位相機
數組	陣列
孃	娘	>
源文件	原始檔
配置文件	組態檔
文件夾	資料夾
文件	檔案
幫助文檔	說明文件
早上好	早安
旺銷	暢銷
晚上好	晚安
普通話	國語
智能	智慧
暖手寶	行動電源
有機玻璃	壓克力
服務器	伺服器
服務端	伺服端
期房	預售屋
查體	體檢
桌面型	桌上型
桑拿浴	三溫暖
桑拿	三溫暖
概率	機率
檯式機	桌機
檯式計算機	桌機
歐羅	歐元
正則表達式	正規表達式
殘疾	殘障
民校	私校
汽酒	汽水
活動板房	組合屋
派生	衍生
源代碼	原始碼
激光視盤	影碟
激光	雷射
激活	啟動
無形眼鏡	隱形眼鏡
無形鏡	隱形眼鏡
熒光	螢光
爆炸物	爆裂物
特朗普	川普
玩家國度	玩家共和國
異步	非同步
病殘	殘障
發達國家	已開發國家
白鱗鯔	虱目魚
百萬位元組	MB
盒飯	便當
相冊	相簿
眼格	眼界
知識產權	智慧財產權
短信	簡訊
硬件	硬體
硬盤	硬碟
硬科學	自然科學
碼率	位元率
票販子	黃牛
私信	私訊
移動代碼	行動程式碼
移動作業系統	行動作業系統
移動公司	電信公司
移動商務	行動商務
移動客戶端	行動用戶端
移動平臺	行動平臺
移動性	行動性
移動技術	行動技術
移動支付	行動支付
移動數據	行動資料
移動版	行動版
移動產品	行動產品
移動科技	行動科技
移動端	行動端
移動終端	行動終端
移動網絡	行動網路
移動網絡運營商	行動網路業者
移動網路	行動網路
移動聯網設備	行動網路裝置
移動計算機	行動電腦
移動計算	行動運算
移動設備	行動裝置
移動軟件	行動軟體
移動通信	行動通訊
移動運營商	行動業者
移動電信	行動電信
移動電信運營商	行動電信業者
移動電視	行動電視
移動電話	行動電話
移動電源	行動電源
程序	程式
立戶	定居
第二職業	副業
第二課堂	課外活動
筆記本電腦	筆電
簡裝	平裝
粘貼	貼上
級任	班導
組群	群組
統考	聯考
綜合徵	症候群
網吧	網咖
網盤	網路硬碟
網絡	網路
網誌	部落格
網路營運商	網路業者
緩存	快取
罰款	罰鍰
老齡	高齡
耶誕	聖誕
聯繫人	聯絡人
聯繫本	聯絡簿
胃管	鼻胃管
背囊客	背包客
胞漿水	羊水
腳手架	鷹架
自定義	自訂
自由泳	自由式
自選市場	超級市場
芝士	起司
芯片	晶片
落戶	設籍
藥店	藥局
蜂窩網路	行動網路
螢光屏	螢幕
螢屏	螢幕
衛生巾	衛生棉
西紅柿	蕃茄
西蘭花	花椰菜
視屏	螢幕
視頻文件	視訊檔
視頻文檔	視訊檔案
視頻會議	視訊會議
視頻檔	視訊檔
視頻處理器	影像處理器
視頻軌	視訊軌
視頻輸入	視訊輸入
視頻輸出	視訊輸出
視頻	影片
西瓜影片	西瓜視頻
觸控ID	Touch ID
計算器	計算機
計算機科學	電腦科學
訪問網站	造訪網站
訪問網頁	造訪網頁
訪問連結	造訪連結
訪問數	瀏覽數
訪問權	存取權
訪問量	瀏覽量
調色板	調色盤
評卷	閱卷
譯碼器	解碼器
貪心法	貪婪法
貪心算法	貪婪演算法
超智	資優
蹦極跳	高空彈跳
軟件	軟體
軟包裝	鋁箔包
軟驅	軟碟機
輸液	點滴
通信	通訊
進程	製程
遊園會	園遊會
運營商	電信公司
過家家	扮家家酒
過山車	雲霄飛車
遮目魚	虱目魚
避孕套	保險套
郵遞員	郵差
酸乳酪	優格
酸牛奶	優酪乳
酸奶	優酪乳
金槍魚	鮪魚
銀行卡	信用卡
附加組件	附加元件
隔空投送	AirDrop
隔空播放	AirPlay
隱身模式	無痕模式
集成的	整合式
集成電路	積體電路
集成	整合
雞矢果	芭樂
電子郵箱	電子信箱
電算器	電子計算機
電腦磁盤	磁碟
電飯煲	電鍋
電飯鍋	電鍋
面向對象	物件導向
面容ID	Face ID
音像	影音
顯像管	映像管
顯示屏	螢幕
飛行模式	飛航模式
飯包	便當
首席執行官	執行長
首席技術官	技術長
首席產品官	產品長
首席訊息官	資訊長
首席運營官	營運長
高清音頻	高音質音訊
高清音質	高音質
高清	高畫質
高端	高階
高等學校	大專院校
高級設定	進階設定
高考	學測
高解像	高畫質
高質量	高品質
高階疫苗	高端疫苗	>
髮屋	髮廊
鱷梨	酪梨
黑客	駭客
駭客松	黑客松	>
默認	預設
預設	設定檔
點陣式	矩陣
鼻飼管	鼻胃管
鼻鼻胃管	鼻胃管	>
售後支持	售後支援
客戶支持	客戶支援
專業支持	專業支援
後勤支持	後勤支援
技術支持	技術支援
硬體支持	硬體支援
線上支持	線上支援
軟體支持	軟體支援
體重秤	體重計
詞典	辭典
睡眠質量	睡眠品質
早飯	早餐
荒野獵人	神鬼獵人
速度與激情	玩命關頭
鋼鐵俠	鋼鐵人
溫暖的屍體	殭屍哪有這麼帥
神奇動物在哪裡	怪獸與牠們的產地
黑衣人	MIB星際戰警
小黃人大眼萌	小小兵
海底都是魚	海底奇兵
生化昆蟲超人	蜘蛛俠
萬能機器貓	多啦a夢
地雷小英雄	炸彈人
大炮機械人	鋼彈
模塊	模組
樹袋熊	無尾熊
考拉	無尾熊
下午好	午安
宕機	當機
多動症	過動症
小賣部	小攤販
出租車	計程車
差頭	計程車
打蛋器	打蛋機
殭屍粉	機器人
矢量	向量
圖像質量	圖片品質
圖片質量	圖片品質
對話質量	對話品質
工作質量	工作品質
影片的質量	影片的品質
影片質量	影片品質
生活質量	生活品質
程式的質量	程式的品質
程式質量	程式品質
空氣質量	空氣品質
質量上	品質上
質量下降	品質下降
質量不低	品質不低
質量不好	品質不好
質量不差	品質不差
質量不盡人意	品質不盡人意
質量不行	品質不行
質量不錯	品質不錯
質量不高	品質不高
質量也不賴	品質也不賴
質量也不錯	品質也不錯
質量低	品質低
質量佳	品質佳
質量保證	品質保證
質量參差不齊	品質參差不齊
質量可太低	品質可太低
質量可太好	品質可太好
質量可太差	品質可太差
質量可太高	品質可太高
質量太低	品質太低
質量太好	品質太好
質量太差	品質太差
質量太高	品質太高
質量好	品質好
質量就是好	品質就是好
質量很低	品質很低
質量很好	品質很好
質量很差	品質很差
質量很高	品質很高
質量挺不賴	品質挺不賴
質量挺不錯	品質挺不錯
質量挺低	品質挺低
質量挺好	品質挺好
質量挺差	品質挺差
質量挺高	品質挺高
質量控制	品質控制
質量控管	品質控管
質量提升	品質提升
質量極佳	品質極佳
質量標準	品質標準
質量檢驗	品質檢驗
質量比較低	品質比較低
質量比較好	品質比較好
質量比較差	品質比較差
質量比較高	品質比較高
質量真不賴	品質真不賴
質量真不錯	品質真不錯
質量稍低	品質稍低
質量稍好	品質稍好
質量稍差	品質稍差
質量稍微低	品質稍微低
質量稍微好	品質稍微好
質量稍微差	品質稍微差
質量稍微高	品質稍微高
質量稍高	品質稍高
質量管理	品質管理
質量越低	品質越低
質量越好	品質越好
質量越差	品質越差
質量越高	品質越高
質量較低	品質較低
質量較好	品質較好
質量較差	品質較差
質量較高	品質較高
質量還不賴	品質還不賴
質量還不錯	品質還不錯
質量還是那麼的高	品質還是那麼的高
質量還蠻差	品質還蠻差
質量還行	品質還行
質量高	品質高
香水的質量	香水的品質
代碼	程式
菠蘿	鳳梨
鳳梨包	菠蘿麵包
二維碼	QR Code
二維條碼	QR Code
數字信號	數位訊號
模擬信號	類比訊號
信號塔	基地台
信號	訊號
訊號彈	信號彈
訊號槍	信號彈
硅	矽
預包裝	包裝食品
食品標籤	食品標示
營養標籤	營養標示
保質期	賞味期限
網民	網友
堵車	塞車
獼猴桃	奇異果
衛衣	連帽衫
套服	套裝
下崗	失業
小型單放機	隨身聽
愛侶動物	寵物
代用鹽	低鈉鹽
生物食品	天然食品
易拉罐	易開罐
抓空字	抽空
夜餐	宵夜
夜宵	宵夜
空調鞋	氣墊鞋
倒數秒	倒數計時
白班	日班
保職停薪	留職停薪
老摳	小氣鬼
病休	請病假
房齡	屋齡
盲區	盲點
除塵器	吸塵器
剃鬍刀	刮鬍刀
打橫泡	攪局
份兒飯	套餐	>
水門汀	水泥	>
扎啤	生啤
散件	零件
八旗子弟	紈褲子弟
賣大號	量販	>
賣大戶	量販	>
棒冰	冰棒	>
冰棍棒	冰棒	>
冰棍	冰棒	>
冰棒棒	冰棒	>
假牌	仿冒品
被動抽煙	抽二手煙
轉折點	轉捩點
一風吹	一筆勾銷
衛生筷	免洗筷
殘次品	瑕疵品
綠色食品	健康食品
智力玩具	益智玩具
救生盒	急救箱
原珠筆	原子筆
檔次	等級
鐵哥們	哥兒們
本科生	大學生
保育院	育幼院
路條	通行證
半邊家庭	單親家庭
獲得者	得主
二流子	流氓
兄弟院校	姊妹校
國民身分證	居民身份證
臨時戶口	流動戶口
攻關	突破瓶頸
文娛活動	康樂活動
丁克夫妻	頂客族
大氣污染	空氣污染
行業病	職業病
低常兒童	低能兒
低常兒	低能兒
步行街	徒步區
救命電話	生命線
黃片	A片
黃帶	A片
花帶子	A片
炊事員	廚師
朋客	龐克族
商標菜	招牌菜
攤檔	攤位
婚外戀	婚外情
揭彩	剪綵
毛腳女婿	準女婿
電視大學	空中大學
車照	駕照
無塵粉筆	無灰粉筆
技校	職業學校
低谷	谷底
沸點新聞	焦點新聞
尖子	傑出人士
大腕	重量級人物
出糧	領薪
倒休	調班
開門紅	好彩頭
慣偷	慣竊
統一意見	共識	>
寬心丸	定心丸
監督電話	投訴電話
導火索	導火線
電子信函	電子郵件
智殘人	智障人士
超常兒童	天才兒童
出版物	出版品
畢加索	畢卡索
普立茲獎	普立策獎
上座率	票房記錄
薌劇	歌仔戲
莫差特	莫札特
哥特	哥德
巴羅克	巴洛克
原音帶	原聲帶
攝像頭	監視器
攝像	攝影
面市	上市
主人公	主角
配演	配角
回頭客	常客
成服	成衣
第三產業	服務業
銷價	售價
知識密集	技術密集
擴銷	促銷
課時工資	鐘點費
熱貨	搶手貨
北京時間	中原時間
工齡	年資
步談機	對講機
尾氣測量	排氣測量
半包價式旅遊	半自助式旅遊
立交橋	交流道
頂價	天價
現房	成屋
集裝箱	貨櫃
受獎產品	得獎產品
甩賣	拋售
快銷	暢銷
多國公司	跨國公司
多國家公司	跨國公司
利稅	營業稅
引廠進店	專櫃
空中客車	空中巴士
飛機乘務員	空服員
亭式車站	候車亭
旅遊車	遊覽車
混血車	拼裝車
過街橋	天橋
無繩電話	無線電話
架校	駕訓班
專列	加班車
尋呼	呼叫
輕騎	輕型機車
旅遊局	觀光局
旅遊農業	觀光農業
速遞	快遞
退出登錄	登出
手柄	搖桿
破碼器	解碼器
條型碼	條碼
色粉	碳粉
文檔	文件
磁盤	磁碟
音頻	音訊
眨巴著	眨著
眨巴	眨著
遠程	遠端
Git 倉庫	git 來源
GitHub 倉庫	GitHub 來源
GitHub倉庫	GitHub來源
GitLab 倉庫	GitLab 來源
GitLab倉庫	GitLab來源
Git倉庫	Git來源
HuggingFace 倉庫	HugginFace 來源
HuggingFace倉庫	HugginFace來源
git 倉庫	git 來源
github 倉庫	GitHub 來源
github倉庫	GitHub來源
gitlab 倉庫	GitLab 來源
gitlab倉庫	GitLab來源
git倉庫	git來源
hf 倉庫	hf 來源
hf倉庫	hf來源
遠端倉庫	遠端來源
咱們	我們
中午好	午安
打賞	斗內
便利店	便利商店
洗面奶	洗面乳
老人卡	敬老卡
黄瓜	小黃瓜
小小黃瓜	小黃瓜	>
志願者	志工
趣多多	Chips Ahoy!
活費	生活費
生生活費	生活費	>
數學期望	期望值
期望值值	期望值	>
舉報	檢舉
機動車	汽車
安全鎚	車窗擊破器
升華	昇華
jiojio	腳腳	>
適配	相容
健康碼	身份證字號
止疼片	止痛藥
利比裡亞	賴比瑞亞
蘇裡南	蘇利南
厄瓜多爾	厄瓜多
斯威士蘭	史瓦濟蘭
索馬里	索馬利亞
布基納法索	布吉納法索
巴布亞新幾內亞	巴布亞紐幾內亞
巴巴多斯	巴貝多
帕勞	帛琉
波札那博茨瓦納	波札那博茨瓦納
波士尼亞與赫塞哥維納	波士尼亞與赫塞哥維納
貝寧	貝南
伯利茲	貝里斯
布隆迪	蒲隆地
馬拉維	馬拉威
馬爾代夫	馬爾地夫
馬耳他	馬爾他
毛里求斯	模里西斯
莫桑比克	莫三比克
毛里塔尼亞	茅利塔尼亞
孟加拉國	孟加拉
多米尼加	多明尼加
湯加	東加
突尼斯	突尼西亞
土庫曼斯坦	土庫曼
圖瓦盧	吐瓦魯
塔吉克斯坦	塔吉克
坦桑尼亞	坦尚尼亞
尼日爾	尼日
新西蘭	紐西蘭
瑙魯	諾魯
尼日利亞	奈及利亞
列支敦士登	列支敦斯登
老撾	寮國
盧旺達	盧安達
利比里亞	賴比瑞亞
萊索托	賴索托
科摩羅	葛摩
格林納達	格瑞那達
哥斯達黎加	哥斯大黎加
圭亞那	蓋亞那
岡比亞	甘比亞
剛果(金)	剛果民主共和國
剛果(布)	剛果共和國
剛果（金）	剛果民主共和國
剛果（布）	剛果共和國
卡塔爾	卡達
克羅地亞	克羅埃西亞
肯尼亞	肯亞
洪都拉斯	宏都拉斯
哈薩克斯坦	哈薩克
基里巴斯	吉里巴斯
幾內亞比紹	幾內亞比索
吉爾吉斯斯坦	吉爾吉斯
加蓬	加彭
加納	迦納
格魯吉亞	喬治亞
特立尼達和多巴哥	千里達及托巴哥
津巴布韋	辛巴威
科特迪瓦	象牙海岸
塞拉利昂	獅子山
沙特阿拉伯	沙烏地阿拉伯
贊比亞	尚比亞
聖多美和普林西比	聖多美普林西比
聖盧西亞	聖露西亞
聖基茨和尼維斯	聖克里斯多福及尼維斯
聖文森特和格林納丁斯	聖文森及格瑞那丁
斯洛文尼亞	斯洛維尼亞
蘇里南	蘇利南
所羅門群島	索羅門群島
塞浦路斯	賽普勒斯
塞舌爾	塞席爾
意大利	義大利
埃塞俄比亞	衣索比亞
阿塞拜疆	亞塞拜然
烏茲別克斯坦	烏茲別克
佛得角	維德角
瓦努阿圖	萬那杜
文萊	汶萊
阿拉伯聯合酋長國	阿拉伯聯合大公國
厄立特里亞	厄利垂亞
安提瓜和巴布達	安地卡及巴布達
雷克雅未克	雷克雅維克
廷布	辛布
莫爾斯比港	莫士比港
布里奇頓	橋鎮
麥納麥	麥納瑪
拿騷	拿索
伊斯蘭堡	伊斯蘭瑪巴德
蘇克雷	蘇克瑞
美律坵	美律坵
哈博羅內	嘉伯隆里
薩拉熱窩	塞拉耶佛
斯科普里	史高比耶
波多諾伏	新港
貝爾莫潘	貝爾墨邦
索非亞	索菲亞
布瓊布拉	布松布拉
帕利基爾	帕里克爾
塔那那利佛	安塔那那利弗
利隆圭	里朗威
馬朱羅	馬久羅
馬累	馬律
瓦萊塔	瓦勒他
路易港	路易士港
馬普托	馬布多
基希訥烏	基希涅夫
努瓦克肖特	諾克少
羅索	羅梭
聖多明各	聖多明哥
洛美	洛梅
努庫阿洛法	努瓜婁發
阿什哈巴德	阿什哈巴特
杜尚別	杜尚貝
達累斯薩拉姆	沙蘭港
馬那瓜	馬納瓜
尼亞美	尼阿美
惠靈頓	威靈頓
亞倫	雅連
溫得和克	溫荷克
阿布賈	阿布加
比勒陀利亞	普里托利亞
瓦杜茲	瓦都茲
萬象	永珍
基加利	吉佳利
馬塞盧	馬賽魯
危地馬拉	瓜地馬拉
莫羅尼	莫洛尼
聖何塞	聖約瑟
喬治敦	喬治城
班珠爾	班竹
金沙薩	金夏沙
布拉柴維爾	布拉薩市
雅溫得	雅恩德
薩格勒布	札格瑞布
內羅畢	奈洛比
特古西加爾巴	德古西加巴
吉布提	吉布地
科納克里	柯那克里
比紹	比索
比什凱克	比斯凱克
利伯維爾	自由市
第比利斯	提比里斯
亞穆蘇克羅	雅穆索戈
聖地亞哥	聖地牙哥
班吉	班基
恩賈梅納	恩加美納
弗里敦	自由城
姆巴巴內	墨巴本
利雅得	利雅德
盧薩卡	路沙卡
聖馬力諾	聖馬利諾
卡斯特里	卡斯翠
巴斯特爾	巴士地
伯爾尼	伯恩
科倫坡	可倫坡
布拉迪斯拉發	布拉提斯拉瓦
盧布爾雅那	盧比安納
帕拉馬里博	巴拉馬利波
摩加迪沙	摩加迪休
霍尼亞拉	荷尼阿拉
阿皮亞	阿庇亞
尼科西亞	尼柯西亞
達喀爾	達卡
貝爾格萊德	貝爾格勒
亞的斯亞貝巴	阿迪斯阿貝巴
埃里溫	葉里溫
薩那	沙那
蒙得維的亞	蒙特維多
坎帕拉	康培拉
普拉亞	培亞
加拉加斯	卡拉卡斯
斯里巴加灣市	斯里百加灣市
阿布扎比	阿布達比
阿斯馬拉	阿斯瑪拉
堪培拉	坎培拉
安道爾城	老安道爾
羅安達	魯安達
布里斯班	布里斯本
悉尼	雪梨
馬里	馬利
數字時代	數位時代
西藍花	花椰菜
教程	教學
賬戶	帳號
退出登入	登出
點贊	按讚
點讚	按讚
中式台球	撞球
台球	撞球

# 簡轉中需要
台球	中式台球

乒乓球	桌球
擬聲	狀聲
彈丸論破	槍彈辯駁
引數	參數
壓強	壓力
摩爾	莫爾
摩爾斯電碼	摩斯密碼
莫爾莊園	摩爾莊園
夾逼	夾擠
表白	告白
渠道	管道
退出登入	登出
自適應	動態
播放列表	播放清單
剪貼版	剪貼簿
抑鬱	憂鬱
變量	變數
獼猴桃	奇異果
番石榴	芭樂
御田	黑輪
賽百味	潛艇堡
蒸蒸糕	狀元糕
方便面	速食麵
通菜	空心菜
薯片	洋芋片
新地	聖代
熊貓	貓熊
掃雷	踩地雷
紅心大戰 傷心小棧
蜘蛛紙牌	連環新接龍
空當接龍	新接龍
雲計算	雲端運算
虛擬現實	虛擬實境
增強現實	擴增實境
賬號	帳號
賬單	帳單
賬目	帳目
鏈接	連結
超鏈接	超連結
郵箱	信箱
解壓	解壓縮
解壓縮縮	解壓縮	>
下拉框	下拉選單
複選框	核取方塊
單選框	選項按鈕
選項卡	索引標籤
調試	除錯
創建	建立
估計	大概	<
支持	支援	<
數字	數位	<
質量	品質	<
菜單	選單	<
算法	演算法	<
代碼	程式碼	<
通過	透過	<
